Device begin
Waiting a client connection to notify...
Sensitivity: 2, On Time: 0, UNIT ID: UI7PCAHD
RSSI: 98
Output turned on
RSSI: 99
RSSI: 96
RSSI: 98
RSSI: 99
RSSI: 98
RSSI: 97
RSSI: 98
RSSI: 99
RSSI: 95
RSSI: 98
RSSI: 98
RSSI: 98
RSSI: 96
RSSI: 97
RSSI: 96
RSSI: 97
RSSI: 96
RSSI: 94
RSSI: 97
RSSI: 96
RSSI: 97
RSSI: 96
RSSI: 98
RSSI: 95
RSSI: 96
RSSI: 97
RSSI: 97
RSSI: 97
RSSI: 96
RSSI: 97
RSSI: 96
RSSI: 97
RSSI: 96
RSSI: 96
RSSI: 95
RSSI: 98
RSSI: 96
RSSI: 95
RSSI: 96
RSSI: 95
RSSI: 96
RSSI: 97
RSSI: 98
RSSI: 95
RSSI: 94
RSSI: 98
RSSI: 92
RSSI: 95
RSSI: 94
RSSI: 96
RSSI: 93
RSSI: 95
RSSI: 97
RSSI: 98
RSSI: 97
RSSI: 94
RSSI: 94
RSSI: 99
RSSI: 97
RSSI: 98
RSSI: 98
RSSI: 95
RSSI: 80
RSSI: 87
RSSI: 91
RSSI: 86
RSSI: 40
RSSI: 97
Output turned on
RSSI: 95
RSSI: 95
RSSI: 92
RSSI: 94
RSSI: 96
RSSI: 84
Output turned on
RSSI: 95
RSSI: 96
RSSI: 97
RSSI: 97
RSSI: 97
RSSI: 96
RSSI: 95
Output turned on
RSSI: 95
RSSI: 96
RSSI: 96
RSSI: 98
RSSI: 98
RSSI: 98
RSSI: 98
RSSI: 98
RSSI: 97
RSSI: 98
RSSI: 98
RSSI: 98
RSSI: 98
RSSI: 99
RSSI: 98
RSSI: 98
