,,,x,y,z,xyz,,,,,x,y,z,xyz,,,,,G,A,
10.4,,1,0.7,-0.3,0.7,1.04,0.989949494,,,1,-9.9,-1.9,1.8,10.3,,-0.378305085,1,-0.3,1.8,7.831,1.8
10.5,,2,0.7,-0.3,0.7,1.05,0.989949494,,,2,-4.6,-0.4,-1.4,4.9,,,2,-0.3,-1.4,7.831,1.4
10.4,,3,0.7,-0.3,0.7,1.04,0.989949494,,,3,2.7,2.2,-2.3,4.2,,,3,-0.3,-2.3,7.831,2.3
10.4,,4,0.7,-0.3,0.7,1.04,0.989949494,,,4,3.7,-2.2,-1.1,4.4,,,4,-0.3,-1.1,7.831,1.1
10.3,,5,0.7,-0.3,0.7,1.03,0.989949494,,,5,-1.5,2.2,-0.4,2.7,,,5,-0.3,-0.4,7.831,0.4
10.4,,6,0.7,-0.3,0.7,1.04,0.989949494,,,6,-1.1,-2.7,3.3,4.4,,,6,-0.3,3.3,7.831,3.3
10.5,,7,0.7,-0.3,0.7,1.05,0.989949494,,,7,-4,-6.3,7.6,10.6,,,7,-0.3,7.6,7.831,7.6
10.3,,8,0.7,-0.3,0.7,1.03,0.989949494,,,8,-10.7,-15.7,5.3,19.7,,,8,-0.3,5.3,7.831,5.3
10.5,,9,0.7,-0.2,0.7,1.05,0.989949494,,,9,-25.7,-30.6,-12.7,41.9,,,9,-0.2,-12.7,17.831,12.7
9.4,,10,0.8,-0.2,0.5,0.94,0.943398113,,,10,-19.5,-14.2,-50.7,56.2,,,10,-0.2,-50.7,17.831,50.7
15.8,,11,0.9,-1.2,0.6,1.58,1.081665383,,,11,-11.4,-2.8,71.8,72.7,,,11,-1.2,71.8,82.169,71.8
4.2,,12,0.3,-0.2,0.3,0.42,0.424264069,,,12,23.9,-16.1,86.4,91.1,,,12,-0.2,86.4,17.831,86.4
17.7,,13,1.3,-0.3,1.2,1.77,1.769180601,,,13,-2.5,38,41.9,56.6,,,13,-0.3,41.9,7.831,41.9
12.5,,14,0.8,0.2,0.9,1.25,1.204159458,,,14,-18,-25.8,-78.1,84.2,,,14,0.2,-78.1,57.831,78.1
1.5,,15,-0.1,0.1,0,0.15,0.1,,,15,-43,-20.4,-119.7,128.8,,,15,0.1,-119.7,47.831,119.7
11.3,,16,0.9,-0.6,0.5,1.13,1.029563014,,,16,-34,-64,147,163.8,,,16,-0.6,147,22.169,147
4.5,,17,0.2,-0.1,0.4,0.45,0.447213595,,,17,6.3,-33,65.9,73.9,,,17,-0.1,65.9,27.831,65.9
19.4,,18,1.4,0.2,1.3,1.94,1.910497317,,,18,49.6,-26.8,-20.6,60,,,18,0.2,-20.6,57.831,20.6
11.9,,19,0.9,0,0.8,1.19,1.204159458,,,19,27.4,8.8,-67.6,73.4,,,19,0,-67.6,37.831,67.6
