,,,,,,,,,,,,,AY,gz
1,-0.1,0.9,0.3,9.7,,1,-0.6,1.6,-1.2,2.1,,1,9,-1.2
2,-0.1,0.9,0.3,9.7,,2,-1.5,0.4,-1.3,2,,2,9,-1.3
3,-0.1,0.9,0.3,9.7,,3,-2,-0.2,-0.3,2,,3,9,-0.3
4,-0.1,0.9,0.3,9.6,,4,-1.8,-0.1,0.2,1.8,,4,9,0.2
5,-0.1,0.9,0.3,9.7,,5,-1,-0.4,0.2,1.1,,5,9,0.2
6,-0.1,0.9,0.3,9.7,,6,-0.9,-0.5,-0.5,1.1,,6,9,-0.5
7,-0.1,0.9,0.3,9.8,,7,-0.6,-1.4,0.1,1.5,,7,9,0.1
8,-0.1,0.9,0.3,9.7,,8,-1.1,-1.2,1.3,2.1,,8,9,1.3
9,-0.1,0.9,0.3,9.7,,9,-0.1,0.9,1.3,1.6,,9,9,1.3
10,-0.1,0.9,0.3,9.6,,10,-0.3,12.1,3.4,12.6,,10,9,3.4
11,-0.1,0.9,0.3,9.6,,11,4.6,4.6,6.7,9.3,,11,9,6.7
12,-0.1,0.9,0.3,9.7,,12,7.3,-2.3,6.8,10.2,,12,9,6.8
13,-0.1,0.9,0.3,9.8,,13,3.2,1.7,3.6,5.1,,13,9,3.6
14,-0.1,0.9,0.3,9.7,,14,-2.6,6.4,-0.6,6.9,,14,9,-0.6
15,-0.1,1,0.2,9.9,,15,-6.5,13.1,0.6,14.7,,15,10,0.6
16,-0.1,0.9,0.2,9.3,,16,-7.8,14.1,-3.7,16.5,,16,9,-3.7
17,-0.1,0.9,0.3,9.5,,17,-0.5,-0.2,1.8,1.9,,17,9,1.8
18,-0.1,0.9,0.3,9.7,,18,-0.3,-0.4,6.3,6.3,,18,9,6.3
19,-0.1,0.9,0.3,10,,19,-5.9,4.7,-0.2,7.5,,19,9,-0.2
20,-0.1,0.9,0.3,9.7,,20,-6.3,9.7,0.6,11.6,,20,9,0.6
21,0,0.9,0.3,9.8,,21,3.7,-5.3,-1.3,6.6,,21,9,-1.3
22,-0.1,0.9,0.3,9.6,,22,10.4,-8.5,0.1,13.4,,22,9,0.1
23,-0.1,1,0.3,11,,23,13,-19.4,4.6,23.9,,23,10,4.6
24,-0.1,0.9,0.2,9.3,,24,1.3,-7,-8.7,11.3,,24,9,-8.7
25,-0.1,0.8,0.3,8.9,,25,12.2,-24.4,1.7,27.4,,25,8,1.7
26,-0.2,0.9,0.3,9.7,,26,16.9,-47.4,4.8,50.6,,26,9,4.8
27,-0.2,0.9,0.3,10,,27,5.4,-58.4,-25,63.7,,27,9,-25
28,-0.1,1,0.2,10.8,,28,-11,-55.9,-38,68.5,,28,10,-38
29,-0.1,1.1,0.2,10.9,,29,-30.6,-42.7,-46.9,70.4,,29,11,-46.9
30,-0.1,0.9,0.2,9,,30,-41.3,-4.2,-35.1,54.3,,30,9,-35.1
31,-0.1,0.9,0.2,9.6,,31,-32.7,29.3,7.4,44.5,,31,9,7.4
32,-0.2,0.8,0.2,8.1,,32,-3.3,31.6,12.2,34.1,,32,8,12.2
33,-0.1,0.9,0.2,9.6,,33,0.3,39.9,39.8,56.4,,33,9,39.8
34,-0.2,0.9,0.3,10.1,,34,5.9,51.6,42.7,67.2,,34,9,42.7
35,-0.1,1,0.3,10.7,,35,8.6,43.5,47.5,65,,35,10,47.5
36,-0.2,1,0.4,10.6,,36,13.7,41.6,49.5,66.1,,36,10,49.5
37,-0.1,0.9,0.4,9.7,,37,15,10.6,34.4,39,,37,9,34.4
38,-0.2,1,0.4,10.9,,38,11.9,-10.7,27.4,31.7,,38,10,27.4
39,-0.1,0.7,0.3,8,,39,-6.7,-30.2,-9.2,32.3,,39,7,-9.2
40,-0.2,0.9,0.3,9.7,,40,-13.8,-45.3,-18.8,50.9,,40,9,-18.8
41,-0.2,1,0.2,10.3,,41,-15.7,-66.2,-59.3,90.3,,41,10,-59.3
42,-0.1,1.1,0.2,10.8,,42,-21.7,-79.6,-83.2,117.2,,42,11,-83.2
43,-0.1,1,0.2,10.4,,43,-37.7,-37.1,-90.6,104.9,,43,10,-90.6
44,-0.1,0.9,0.2,9.6,,44,-30.4,-11.7,-57.9,66.4,,44,9,-57.9
45,-0.1,0.8,0.2,8.2,,45,-1.4,34.8,-4.8,35.2,,45,8,-4.8
46,-0.1,0.8,0.2,8.7,,46,9,5.3,20.8,23.3,,46,8,20.8
47,-0.2,0.9,0.3,9.9,,47,9.5,50.9,51,72.7,,47,9,51
48,-0.2,1,0.3,10.7,,48,14.1,44.9,68.2,82.9,,48,10,68.2
49,-0.2,1,0.3,10.9,,49,12.9,49.3,76.6,92,,49,10,76.6
50,-0.1,1,0.4,10.6,,50,14.4,33.2,67.1,76.3,,50,10,67.1
51,-0.1,1,0.3,10.5,,51,8.5,8.1,46.4,47.9,,51,10,46.4
52,-0.1,0.8,0.3,8.6,,52,-13.9,6.8,13.3,20.4,,52,8,13.3
53,-0.1,0.8,0.3,8.6,,53,-13,14,-3.3,19.4,,53,8,-3.3
54,-0.1,0.8,0.3,8.8,,54,-4,-23,-28.9,37.1,,54,8,-28.9
55,-0.1,0.9,0.3,9,,55,1,-42,-43.1,60.2,,55,9,-43.1
56,-0.2,1,0.3,10.3,,56,9.9,-61.6,-37.1,72.6,,56,10,-37.1
57,-0.2,1.1,0.2,11.3,,57,-4.1,-94.3,-67.2,115.9,,57,11,-67.2
58,-0.1,1.1,0.2,10.8,,58,-25.7,-53.2,-74.8,95.3,,58,11,-74.8
59,-0.2,1,0.2,10,,59,-30.7,2,-60.2,67.6,,59,10,-60.2
60,-0.2,0.9,0.2,9.1,,60,-19.5,14.1,-24.3,34.2,,60,9,-24.3
61,-0.1,0.8,0.2,8.7,,61,-0.1,40.4,26.3,48.2,,61,8,26.3
62,-0.1,0.9,0.2,9.4,,62,10.4,12.8,57.7,60,,62,9,57.7
63,-0.2,1,0.3,10.9,,63,11.6,49.8,80.4,95.3,,63,10,80.4
64,-0.2,1,0.3,10.4,,64,6.6,42.8,75.4,87,,64,10,75.4
65,-0.1,1,0.3,10.8,,65,2.2,54.9,63.4,83.9,,65,10,63.4
66,-0.1,0.9,0.4,9.5,,66,6.2,18.8,45.7,49.8,,66,9,45.7
67,-0.1,0.8,0.3,9,,67,-1.3,19.7,27.9,34.2,,67,8,27.9
68,-0.2,1,0.3,10.5,,68,-2.7,7.7,-5.9,10.1,,68,10,-5.9
69,-0.2,0.9,0.3,9.2,,69,-4.2,-1.7,-41.5,41.7,,69,9,-41.5
70,-0.1,0.9,0.3,9.6,,70,4,-25.6,-57.6,63.2,,70,9,-57.6
71,-0.1,0.9,0.2,9.6,,71,4.4,-34.1,-67.7,75.9,,71,9,-67.7
72,-0.2,1.1,0.2,11.7,,72,2.8,-73.7,-52.7,90.6,,72,11,-52.7
73,-0.2,1,0.2,10.8,,73,-14.7,-22.2,-74.5,79.1,,73,10,-74.5
74,-0.2,0.9,0.2,9.8,,74,-18.9,-8.1,-63.8,67,,74,9,-63.8
75,-0.2,0.8,0.2,8.8,,75,-10.3,-17.9,-26.7,33.8,,75,8,-26.7
76,-0.2,1,0.2,10.3,,76,0.5,-23.9,19.2,30.7,,76,10,19.2
77,-0.3,0.9,0.3,10,,77,11.2,-10,51,53.1,,77,9,51
78,-0.2,0.9,0.2,9.6,,78,8.8,40.3,59.1,72,,78,9,59.1
79,-0.3,0.9,0.2,9.8,,79,9.2,54,59.2,80.7,,79,9,59.2
80,-0.2,1,0.3,10.4,,80,11.3,46,54.5,72.2,,80,10,54.5
81,-0.2,0.9,0.3,9.9,,81,15.7,38.6,45,61.3,,81,9,45
82,-0.2,0.9,0.3,9.1,,82,13.4,29.4,38,49.9,,82,9,38
83,-0.2,0.8,0.2,8.5,,83,6.9,26.5,12.6,30.1,,83,8,12.6
84,-0.1,1,0.2,10.2,,84,-5.1,16.6,-6.8,18.6,,84,10,-6.8
85,-0.1,0.9,0.2,9.8,,85,-10.2,21.1,-31,38.9,,85,9,-31
86,-0.2,0.9,0.2,9.9,,86,-12.6,-10.1,-37.8,41.2,,86,9,-37.8
87,-0.2,1,0.2,11,,87,-11.9,-55.9,-34.1,66.5,,87,10,-34.1
88,-0.1,1,0.2,10.6,,88,-30.1,-61.8,-51.2,85.7,,88,10,-51.2
89,-0.1,1,0.2,10,,89,-33.2,-3.2,-48.3,58.7,,89,10,-48.3
90,-0.2,0.8,0.2,8.8,,90,-28.3,27.3,-21.3,44.7,,90,8,-21.3
91,-0.2,0.8,0.2,8.5,,91,-7.9,19.4,29.1,35.8,,91,8,29.1
92,-0.1,0.9,0.2,9,,92,4.1,41.8,67,79.1,,92,9,67
93,-0.1,1.1,0.2,10.9,,93,3.7,33,75.8,82.8,,93,11,75.8
94,-0.2,0.9,0.2,9.7,,94,0.1,63.9,59.7,87.5,,94,9,59.7
95,-0.1,1,0.2,9.9,,95,-8.3,95.8,52.7,109.7,,95,10,52.7
96,-0.1,0.9,0.3,9.9,,96,-6.1,87.6,30.2,92.9,,96,9,30.2
97,-0.1,0.9,0.3,9.3,,97,0.7,51.5,27,58.1,,97,9,27
98,-0.1,0.9,0.3,9.2,,98,5.6,52.6,21,56.9,,98,9,21
99,-0.1,0.9,0.3,9.2,,99,9.6,26.3,10.8,30,,99,9,10.8
100,-0.1,1,0.3,10.6,,100,2.4,50.5,-1.5,50.6,,100,10,-1.5
101,-0.1,0.9,0.3,9.2,,101,-3.7,59.8,-19.6,63.1,,101,9,-19.6
102,-0.1,0.8,0.3,8.9,,102,-7,-0.9,-34.3,35,,102,8,-34.3
