,,,,,,z|x,,,,,,,,Ay,Gz,Ay_
1,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.3,1.4,-0.8,2.8,,1,0.9,-0.8,-12
2,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-1.9,5.4,-2.2,6.2,,2,0.9,-2.2,-12
3,0.2,-0.9,0.4,10.2,1.02,0.447213595,,-2.2,4.4,-2.5,5.5,,3,0.9,-2.5,-12
4,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.5,-0.8,-1.2,2.9,,4,0.9,-1.2,-12
5,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-2.2,-2.3,0.2,3.2,,5,0.9,0.2,-12
6,0.2,-0.9,0.4,10.4,1.04,0.447213595,,-1.4,-2.2,2.4,3.5,,6,0.9,2.4,-12
7,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-0.9,-1.8,0.4,2,,7,0.9,0.4,-12
8,0.2,-0.9,0.4,10.1,1.01,0.447213595,,-4.5,1.8,0.9,4.9,,8,0.9,0.9,-12
9,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-8.3,1.9,1.5,8.6,,9,0.9,1.5,-12
10,0.2,-0.9,0.4,10.3,1.03,0.447213595,,-15.3,7.8,-0.8,17.2,,10,0.9,-0.8,-12
11,0.2,-0.9,0.4,9.9,0.99,0.447213595,,-15.3,29,-7.8,33.7,,11,0.9,-7.8,-12
12,0.2,-1,0.4,10.5,1.05,0.447213595,,-4.8,23.3,-0.7,23.8,,12,1,-0.7,18
13,0.2,-1,0.3,10.6,1.06,0.360555128,,-0.3,8,5.5,9.7,,13,1,5.5,18
14,0.2,-1,0.3,10.3,1.03,0.360555128,,5.2,12.3,-1.4,13.4,,14,1,-1.4,18
15,0.2,-1,0.4,10.6,1.06,0.447213595,,10,21.4,-3.3,23.8,,15,1,-3.3,18
16,0.1,-1,0.4,11.1,1.11,0.412310563,,4.6,-1.6,1.6,5.1,,16,1,1.6,18
17,0.1,-0.9,0.4,9.5,0.95,0.412310563,,14.7,34.4,-16.1,40.7,,17,0.9,-16.1,-12
18,0.1,-0.9,0.4,9.8,0.98,0.412310563,,9,4.3,1.4,10.1,,18,0.9,1.4,-12
19,0.1,-0.9,0.4,10.2,1.02,0.412310563,,-5.9,7.6,7.9,12.4,,19,0.9,7.9,-12
20,0.1,-0.9,0.5,10.5,1.05,0.509901951,,-11.3,-0.9,11.1,15.9,,20,0.9,11.1,-12
